,I2,V2,If,Vf
0,+1.000000E-06,+2.999360E+00,+1.316000E-10,+4.884000E-03
1,+1.259000E-06,+2.999380E+00,+1.351300E-10,+1.474200E-02
2,+1.585000E-06,+2.999360E+00,+1.182400E-10,+2.447600E-02
3,+1.996000E-06,+2.999360E+00,+1.182700E-10,+3.312200E-02
4,+2.513000E-06,+2.999360E+00,+1.189000E-10,+4.165000E-02
5,+3.163000E-06,+2.999360E+00,+1.200900E-10,+4.996200E-02
6,+3.983000E-06,+2.999360E+00,+1.183100E-10,+5.809200E-02
7,+5.014000E-06,+2.999360E+00,+1.199400E-10,+6.656000E-02
8,+6.313000E-06,+2.999360E+00,+1.205700E-10,+7.467600E-02
9,+7.948000E-06,+2.999360E+00,+1.171200E-10,+8.259600E-02
10,+1.001000E-05,+2.999360E+00,+1.157800E-10,+9.033400E-02
11,+1.260000E-05,+2.999360E+00,+1.143100E-10,+9.812400E-02
12,+1.586000E-05,+2.999360E+00,+1.170700E-10,+1.054100E-01
13,+1.997000E-05,+2.999360E+00,+1.139700E-10,+1.127040E-01
14,+2.514000E-05,+2.999360E+00,+1.126100E-10,+1.196060E-01
15,+3.166000E-05,+2.999380E+00,+1.160700E-10,+1.264500E-01
16,+3.986000E-05,+2.999360E+00,+1.128900E-10,+1.332940E-01
17,+5.018000E-05,+2.999360E+00,+1.047900E-10,+1.399860E-01
18,+6.318000E-05,+2.999380E+00,+1.146800E-10,+1.464280E-01
19,+7.954000E-05,+2.999360E+00,+1.038300E-10,+1.526900E-01
20,+1.001000E-04,+2.999360E+00,+1.117300E-10,+1.587500E-01
21,+1.261000E-04,+2.999360E+00,+1.129900E-10,+1.649040E-01
22,+1.587000E-04,+2.999360E+00,+1.097500E-10,+1.709160E-01
23,+1.999000E-04,+2.999360E+00,+1.780000E-10,+1.770540E-01
24,+2.516000E-04,+2.999380E+00,+1.121000E-10,+1.194600E-02
25,+3.168000E-04,+2.999360E+00,+1.114000E-10,+2.243800E-02
26,+3.989000E-04,+2.999380E+00,+9.700000E-11,+3.187000E-02
27,+5.022000E-04,+2.999360E+00,+1.142000E-10,+4.084000E-02
28,+6.322000E-04,+2.999360E+00,+1.105000E-10,+4.936000E-02
29,+7.960000E-04,+2.999360E+00,+1.102000E-10,+5.790800E-02
30,+1.002000E-03,+2.999360E+00,+1.102000E-10,+6.616600E-02
31,+1.262000E-03,+2.999360E+00,+1.031000E-10,+7.428600E-02
32,+1.589000E-03,+2.999380E+00,+1.058000E-10,+8.225000E-02
33,+2.000000E-03,+2.999360E+00,+1.093000E-10,+9.001000E-02
