,I2,V2,If,Vf
0,+1.000000E-06,+2.999360E+00,+1.710000E-11,-2.999338E+00
1,+1.259000E-06,+2.999360E+00,+2.940000E-11,-2.999338E+00
2,+1.585000E-06,+2.999360E+00,+1.680000E-11,-2.999360E+00
3,+1.996000E-06,+2.999360E+00,+1.330000E-11,-2.999342E+00
4,+2.513000E-06,+2.999360E+00,+2.170000E-11,-2.999362E+00
5,+3.163000E-06,+2.999360E+00,+1.830000E-11,-2.999362E+00
6,+3.983000E-06,+2.999360E+00,+1.920000E-11,-2.999362E+00
7,+5.014000E-06,+2.999380E+00,+2.010000E-11,-2.999362E+00
8,+6.313000E-06,+2.999380E+00,+2.000000E-11,-2.999382E+00
9,+7.948000E-06,+2.999360E+00,+1.180000E-11,-2.999360E+00
10,+1.001000E-05,+2.999380E+00,+1.030000E-11,-2.999382E+00
11,+1.260000E-05,+2.999360E+00,+1.290000E-11,-2.999362E+00
12,+1.586000E-05,+2.999380E+00,+1.050000E-11,-2.999364E+00
13,+1.997000E-05,+2.999380E+00,+2.100000E-11,-2.999364E+00
14,+2.514000E-05,+2.999360E+00,+6.700000E-12,-2.999362E+00
15,+3.166000E-05,+2.999380E+00,+1.430000E-11,-2.999382E+00
16,+3.986000E-05,+2.999380E+00,+7.000000E-13,-2.999364E+00
17,+5.018000E-05,+2.999380E+00,+1.070000E-11,-2.999362E+00
18,+6.318000E-05,+2.999380E+00,+1.500000E-11,-2.999364E+00
19,+7.954000E-05,+2.999360E+00,+1.910000E-11,-2.999382E+00
20,+1.001000E-04,+2.999380E+00,+1.580000E-11,-2.999362E+00
21,+1.261000E-04,+2.999380E+00,+1.790000E-11,-2.999382E+00
22,+1.587000E-04,+2.999380E+00,+2.210000E-11,-2.999364E+00
23,+1.999000E-04,+2.999380E+00,+1.250000E-11,-2.999364E+00
24,+2.516000E-04,+2.999380E+00,+2.650000E-11,-2.999364E+00
25,+3.168000E-04,+2.999360E+00,+7.900000E-12,-2.999362E+00
26,+3.989000E-04,+2.999380E+00,+3.988820E-04,-2.872078E+00
27,+5.022000E-04,+2.890100E+00,+5.021380E-04,-2.870894E+00
28,+6.322000E-04,+2.894320E+00,+6.323320E-04,-2.871880E+00
29,+7.960000E-04,+2.898820E+00,+7.960290E-04,-2.871350E+00
30,+1.002000E-03,+2.896600E+00,+1.001805E-03,-2.866450E+00
31,+1.262000E-03,+2.902580E+00,+1.261430E-03,-2.861178E+00
32,+1.589000E-03,+2.905160E+00,+1.588500E-03,-2.852580E+00
33,+2.000000E-03,+2.907420E+00,+2.000150E-03,-2.841686E+00
