,I2,V2,If,Vf
0,+1.000000E-06,+2.999280E+00,+2.015000E-07,-2.998256E+00
1,+1.259000E-06,+3.000600E+00,+3.285040E-07,-2.999420E+00
2,+1.585000E-06,+2.999300E+00,+1.958460E-06,-2.998312E+00
3,+1.996000E-06,+2.620720E+00,+2.378470E-06,-2.619174E+00
4,+2.513000E-06,+2.633280E+00,+2.852710E-06,-2.631822E+00
5,+3.163000E-06,+2.646040E+00,+3.506850E-06,-2.644854E+00
6,+3.983000E-06,+2.658480E+00,+4.337200E-06,-2.657518E+00
7,+5.014000E-06,+2.671060E+00,+5.350830E-06,-2.669650E+00
8,+6.313000E-06,+2.699400E+00,+6.634200E-06,-2.698392E+00
9,+7.948000E-06,+2.693120E+00,+8.306350E-06,-2.691734E+00
10,+1.001000E-05,+2.708260E+00,+1.035770E-05,-2.706592E+00
11,+1.260000E-05,+2.706100E+00,+1.297890E-05,-2.704236E+00
12,+1.586000E-05,+2.685340E+00,+1.624780E-05,-2.683840E+00
13,+1.997000E-05,+2.682460E+00,+2.034650E-05,-2.680660E+00
14,+2.514000E-05,+2.686460E+00,+2.558870E-05,-2.684460E+00
15,+3.166000E-05,+2.691360E+00,+3.207040E-05,-2.689056E+00
16,+3.986000E-05,+2.689200E+00,+4.020100E-05,-2.686760E+00
17,+5.018000E-05,+2.686260E+00,+5.057830E-05,-2.683508E+00
18,+6.318000E-05,+2.692360E+00,+6.350800E-05,-2.689182E+00
19,+7.954000E-05,+2.701260E+00,+7.981340E-05,-2.697546E+00
20,+1.001000E-04,+2.711280E+00,+1.003113E-04,-2.707094E+00
21,+1.261000E-04,+2.723220E+00,+1.260740E-04,-2.717988E+00
22,+1.587000E-04,+2.731800E+00,+1.587580E-04,-2.725430E+00
23,+1.999000E-04,+2.742340E+00,+1.999500E-04,-2.734514E+00
24,+2.516000E-04,+2.753940E+00,+2.517080E-04,-2.744232E+00
25,+3.168000E-04,+2.765860E+00,+3.168540E-04,-2.753922E+00
26,+3.989000E-04,+2.777940E+00,+3.988650E-04,-2.763090E+00
27,+5.022000E-04,+2.789980E+00,+5.020980E-04,-2.771624E+00
28,+6.322000E-04,+2.801840E+00,+6.323690E-04,-2.779070E+00
29,+7.960000E-04,+2.812480E+00,+7.962530E-04,-2.784660E+00
30,+1.002000E-03,+2.817320E+00,+1.002030E-03,-2.786592E+00
31,+1.262000E-03,+2.832280E+00,+1.261650E-03,-2.788508E+00
32,+1.589000E-03,+2.842180E+00,+1.588730E-03,-2.787798E+00
33,+2.000000E-03,+2.854000E+00,+2.000340E-03,-2.786286E+00
