,I2,V2,If,Vf
0,+1.000000E-06,+4.275320E-01,+1.694700E-06,-4.269880E-01
1,+1.259000E-06,+9.660400E-01,+1.953200E-06,-9.636880E-01
2,+1.585000E-06,+9.679440E-01,+2.325790E-06,-9.657020E-01
3,+1.996000E-06,+5.576640E-01,+2.794000E-06,-5.626400E-01
4,+2.513000E-06,+9.718720E-01,+3.300500E-06,-9.695380E-01
5,+3.163000E-06,+9.740480E-01,+3.948700E-06,-9.715580E-01
6,+3.983000E-06,+9.761520E-01,+4.702300E-06,-9.737040E-01
7,+5.014000E-06,+9.783000E-01,+5.728100E-06,-9.757720E-01
8,+6.313000E-06,+9.804580E-01,+7.023600E-06,-9.778380E-01
9,+7.948000E-06,+9.748260E-01,+8.721300E-06,-9.720160E-01
10,+1.001000E-05,+9.776080E-01,+1.103182E-05,-9.746340E-01
11,+1.260000E-05,+9.811700E-01,+1.254000E-05,-9.782060E-01
12,+1.586000E-05,+9.847420E-01,+1.574600E-05,-9.815820E-01
13,+1.997000E-05,+9.880280E-01,+2.086870E-05,-9.847040E-01
14,+2.514000E-05,+9.945660E-01,+2.609100E-05,-9.910440E-01
15,+3.166000E-05,+9.970480E-01,+3.260600E-05,-9.933600E-01
16,+3.986000E-05,+9.974820E-01,+4.084220E-05,-9.936580E-01
17,+5.018000E-05,+1.000614E+00,+5.030400E-05,-9.964640E-01
18,+6.318000E-05,+1.003664E+00,+6.407320E-05,-9.991780E-01
19,+7.954000E-05,+1.007614E+00,+8.044540E-05,-1.002820E+00
20,+1.001000E-04,+9.452720E-01,+1.000180E-04,-9.429240E-01
21,+1.261000E-04,+1.013010E+00,+1.263650E-04,-1.007628E+00
22,+1.587000E-04,+1.016686E+00,+1.590330E-04,-1.010200E+00
23,+1.999000E-04,+1.020382E+00,+2.000910E-04,-1.013012E+00
24,+2.516000E-04,+1.024444E+00,+2.527600E-04,-1.015758E+00
25,+3.168000E-04,+1.029094E+00,+3.171990E-04,-1.018360E+00
26,+3.989000E-04,+1.034076E+00,+3.999800E-04,-1.021084E+00
27,+5.022000E-04,+1.039616E+00,+5.025780E-04,-1.023912E+00
28,+6.322000E-04,+1.045944E+00,+6.327400E-04,-1.026790E+00
29,+7.960000E-04,+1.053180E+00,+7.966600E-04,-1.029736E+00
30,+1.002000E-03,+1.061912E+00,+1.003080E-03,-1.032708E+00
31,+1.262000E-03,+1.071918E+00,+1.262790E-03,-1.035830E+00
32,+1.589000E-03,+1.083836E+00,+1.589930E-03,-1.038992E+00
33,+2.000000E-03,+1.098300E+00,+2.001560E-03,-1.042422E+00
