,I2,V2,If,Vf
0,+1.000000E-06,+1.012020E-01,+2.257000E-06,-9.713400E-02
1,+1.259000E-06,+3.463880E-01,+2.421400E-06,-3.450840E-01
2,+1.585000E-06,+3.458460E-01,+2.766000E-06,-3.440900E-01
3,+1.996000E-06,+3.606740E-01,+3.211800E-06,-3.591400E-01
4,+2.513000E-06,+3.680100E-01,+3.699500E-06,-3.666520E-01
5,+3.163000E-06,+3.697220E-01,+4.368500E-06,-3.678940E-01
6,+3.983000E-06,+3.833140E-01,+5.144500E-06,-3.816540E-01
7,+5.014000E-06,+3.910900E-01,+6.238000E-06,-3.894000E-01
8,+6.313000E-06,+3.989920E-01,+7.594130E-06,-3.974080E-01
9,+7.948000E-06,+3.465620E-01,+9.091100E-06,-3.445100E-01
10,+1.001000E-05,+4.155140E-01,+1.121200E-05,-4.135640E-01
11,+1.260000E-05,+4.238700E-01,+1.379730E-05,-4.217740E-01
12,+1.586000E-05,+4.324140E-01,+1.703500E-05,-4.301040E-01
13,+1.997000E-05,+4.411000E-01,+2.114720E-05,-4.387180E-01
14,+2.514000E-05,+4.500280E-01,+2.643360E-05,-4.473520E-01
15,+3.166000E-05,+4.578820E-01,+3.295820E-05,-4.550240E-01
16,+3.986000E-05,+4.680340E-01,+4.112060E-05,-4.649580E-01
17,+5.018000E-05,+4.771580E-01,+5.134190E-05,-4.739020E-01
18,+6.318000E-05,+4.865940E-01,+6.423920E-05,-4.830380E-01
19,+7.954000E-05,+4.962560E-01,+8.052060E-05,-4.924620E-01
20,+1.001000E-04,+5.067060E-01,+1.010091E-04,-5.016800E-01
21,+1.261000E-04,+5.116940E-01,+1.265620E-04,-5.065640E-01
22,+1.587000E-04,+5.278480E-01,+1.591980E-04,-5.216220E-01
23,+1.999000E-04,+5.392940E-01,+2.003300E-04,-5.318620E-01
24,+2.516000E-04,+5.512480E-01,+2.520550E-04,-5.422380E-01
25,+3.168000E-04,+5.637560E-01,+3.172540E-04,-5.527960E-01
26,+3.989000E-04,+5.768860E-01,+3.993040E-04,-5.635120E-01
27,+5.022000E-04,+5.907680E-01,+5.026240E-04,-5.742320E-01
28,+6.322000E-04,+6.055160E-01,+6.329490E-04,-5.851260E-01
29,+7.960000E-04,+6.213780E-01,+7.966140E-04,-5.960300E-01
30,+1.002000E-03,+6.387820E-01,+1.002740E-03,-6.069620E-01
31,+1.262000E-03,+6.574840E-01,+1.262380E-03,-6.179460E-01
32,+1.589000E-03,+6.782120E-01,+1.589470E-03,-6.288800E-01
33,+2.000000E-03,+7.014800E-01,+2.001110E-03,-6.398040E-01
